category,name,address,postal_code,phone,phone2,website,email,hours,services,notes,rating,halal_status,languages
Banks & Credit Unions,Albion Road,"972 Albion Rd, M9V 1A7",M9V 1A7,(416) 743-8121,,English,,,,,,,
Banks & Credit Unions,Branch,Address,,Phone,,Languages,,,,,,,
Banks & Credit Unions,Clairville/Queens Plate,"600 Queens Plate Dr, M9W 0A4",M9W 0A4,(416) 679-1660,,English,,,,,,,
Banks & Credit Unions,Mt. Olive/Kipling,"2700 Kipling Ave N, M9V 4P2",M9V 4P2,See td.com,,English,,,,,,,
Banks & Credit Unions,Rexdale & Kipling,"129 Rexdale Blvd, M9W 1P4",M9W 1P4,(416) 743-8666,,"English, Hindi, Italian, Persian",,,,,,,
Banks & Credit Unions,Thistletown/Albion,"1104 Albion Rd, M9V 1A8",M9V 1A8,(416) 749-3200,,English,,,,,,,
Banks & Credit Unions,Woodbine Centre,"500 Rexdale Blvd, M9W 6K5",M9W 6K5,(416) 674-5516,,"English, German, Hindi, Punjabi, Tamil, Urdu",,,,,,,
Banks & Credit Unions,duca.com,,,,,,,,,,,,
Bars/Pubs,Ludo Restaurant & Lounge,"54 Rexdale Blvd, Etobicoke, ON M9W 1N7",M9W 1N7,,,toptorontoclubs.com/clubs/ludo-restaurant-and-lounge-toronto/,,4pm-2:10am,,,,,
Bars/Pubs,Schuey's Bar & Grill,"1130 Martin Grove Rd, Etobicoke, ON M9W 4W1",M9W 4W1,416-249-1516,,schueys.com,,Food until 1am,,,4.30/5 (609 reviews),,
Bars/Pubs,Solarium,"54 Rexdale Blvd, Etobicoke, ON M9W 1N7",M9W 1N7,,,,,,,,4.3/5 (89 ratings),,
Beauty Supply Stores,Beauty Supply Inc.,"1160 Albion Rd, Etobicoke, ON M9V 1A8",M9V 1A8,(416) 740-1859,,,,Opens 9:00 AM,,,,,
Beauty Supply Stores,Feliz Beauty Supply,"1530 Albion Road, Etobicoke, ON M9V 1B4",M9V 1B4,(416) 744-1148,,,,Mon-Fri 10:00 AM \u2013 9:00 PM; Sat 9:30 AM \u2013 6:00 PM; Sun 12:00 PM \u2013 5:00 PM,,,,,
Beauty Supply Stores,Sally Beauty \u2013 Rexdale,"2257 Islington Ave, Etobicoke, ON M9W 3W7",M9W 3W7,(416) 744-1555,,sallybeauty.ca,,Mon-Sat 10:00 AM \u2013 8:00 PM; Sun 10:00 AM \u2013 6:00 PM,,,,,
Bicycle Depot \u2014 Rexdale's go-to bike shop since 1997,Customer feedback highlights,"134 Oakdale Road, North York, ON M3N 1V9 (just outside Rexdale's northeastern boundary)",M3N 1V9,(416) 749-2324 / (416) 744-2453 /,,daymak.com / ebikeuniverse.com,,"Mon\u2013Fri 10am\u20137pm, Sat 10am\u20136pm, Sunday closed",,,"Canada's #1 brand specializing in Light Electric Vehicles (LEVs), founded in 2001 from a 300 sq. ft. garage now operating a 30,000 sq. ft. showroom\u2014the ""largest showroom of ebikes in Canada.""",,
Bicycle Shops,Bicycle Depot,"835 Albion Rd, Etobicoke, ON M9V 1A3",M9V 1A3,(416) 741-1452,,bicycle-depot.com,,Mon-Fri 11AM-7PM; Sat 10AM-6PM; Sun closed,"Bicycle sales (family/fitness/competitive), full repair/maintenance, tune-ups, custom wheel builds, warranty service",Established 1997 by identical twins; Apollo/Norco authorized dealer,4.7/5 Google (481 reviews),,
Bicycle Shops,Daymak/Ebike Universe,"134 Oakdale Rd, North York, ON M3N 1V9",M3N 1V9,416-749-2324,1-800-649-9320,daymak.com,,Mon-Fri 10AM-7PM; Sat 10AM-6PM; Sun closed,"Electric bikes/scooters/mobility scooters/ATVs, e-bike repairs","Canada's #1 LEV brand since 2001; 30,000 sq ft showroom largest in Canada",,,
Bicycle Shops,Norco Bicycles Distributor,"105 Queens Plate Dr Unit 1, Etobicoke, ON M9W 7K4",M9W 7K4,(416) 747-1122,,,,,Wholesale distribution dealers only - not public retail,,,,
Bicycle Shops,Urban E-Bike,"71 Milvan Dr, Toronto, ON",,416-994-9393,519-721-3274 (Service),urbanebike.ca,,Mon-Fri 11AM-5PM; Sat 11AM-4PM; Sun closed,"City/commuter/foldable/mountain e-bikes $999-$6,999; e-bike/bicycle repairs",Teslica E-Bike partner; Rad Power Bikes official service partner,,,
Bitcoin/Crypto ATMs,Bitcoin Depot - 2286 Islington Ave,"2286 Islington Ave, Etobicoke, ON M9W 3W8",M9W 3W8,(647) 371-1941,,,,,,,,,
Bitcoin/Crypto ATMs,HODL Digital Services - 1688 Albion Road,"1688 Albion Road, Toronto, ON M9V 1B8 (Hasty Market)",M9V 1B8,(416) 575-6998,,,,,Operator: HODL Digital Services,,,,
Bitcoin/Crypto ATMs,HODL Digital Services - 6640 Finch Ave W,"6640 Finch Ave W, Etobicoke, ON M9W 0B3 (Hasty Market)",M9W 0B3,(416) 575-6998,,,,,,,,,
Bitcoin/Crypto ATMs,Lamassu ATM - Hasty Market,"607 Rexdale Blvd, Etobicoke, ON M9W 0B5",M9W 0B5,1 416-679-1129,,,,,,,,,
Bitcoin/Crypto ATMs,Localcoin - Rexdale Blvd & Martin Grove Rd,,,,,,,,,,,,
Bounce House/Inflatable Rentals,Bounce Events and Party Rentals,,,,,bounceevents.ca,,,"Bouncy castles, bounce & slide combos, adult bouncers, water slides, obstacle courses, carnival games, fun food machines, entertainers, tents/tables/chairs",TSSA licensed; 15+ years experience; all units cleaned after each event,,,
Bounce House/Inflatable Rentals,Bounce123,,,,,bounce123.com,,Notes: TSSA-certified; no initial payment required; free cancellation 72 hours prior,"Bouncy castles, obstacle courses, wet/dry slides, games, popcorn/cotton candy/snow cone machines, foam machines, laser tag",,,,
Bounce House/Inflatable Rentals,Castle Kid Jumping Castles,,,,,castlekid.ca,,,"TSSA-licensed inflatables, water slides, wet/dry combos","375+ 5-star reviews; trusted by schools, universities, corporate groups",,,
Boxing/MMA,Xtreme Couture Toronto,,,,,,,,,,,,
Bridal/Formalwear,Amara Couture,,,,,,,,,,,,
Bridal/Formalwear,Best for Bride - Etobicoke,,,416-233-3393,,,etobicoke@bestforbride.com,,,,,,
Bubble Tea,Real Fruit Bubble Tea,,,,,realfruitbubbletea.com,,,,,,,
Budget Chains,Fit4Less Etobicoke,,,,,,,,,,,,
Businesses Physically Located in Rexdale,Abell Pest Control - Etobicoke Branch,"246 Attwell Dr, Etobicoke, ON M9W 5B4",M9W 5B4,(416) 299-6400 / 1-888-560-2056,,www.abellpestcontrol.com,,24/7 emergency response available,"Full residential and commercial pest control, home protection plan covering 17 pests year-round; bed bugs (K9 inspection available), cockroaches, rodents, silverfish, spiders, wasps, termites, beetles; wildlife management (raccoons, squirrels, skunks, opossums, bats, birds)",,"Certifications: BBB A+ Rating, 100+ years in business (founded 1924)",,
Businesses Physically Located in Rexdale,Ian's Technical Services (Hot Tub Specialist),"20-22 Goodmark Place, Etobicoke, ON M9W 6R2",M9W 6R2,(416) 230-9690 (,) / (416) 679-8381 (,www.ianshottubservices.com,ianstechservices@hotmail.com,Mon-Sun 8:00am-10:00pm (by appointment),"Hot tub, spa, and Jacuzzi\u00ae repair (all makes/models), motor and pump repair/replacement, OEM parts sales, refurbished hot tubs for sale",,,,
Businesses Physically Located in Rexdale,Metro King Pest Control Inc.,"12-70 Belfield Rd, Etobicoke, ON M9W 1G3",M9W 1G3,,,,,,Full pest control services,,,,
Businesses Physically Located in Rexdale,Metro Pool Services Limited,"81 Kelfield Street, Unit 1, Etobicoke, ON M9W 5A3",M9W 5A3,(416) 248-6639,,www.metropoolservices.com,service@metropoolservices.com,"Mon-Fri 9:00am-4:00pm, Sat 9:00am-3:00pm","Pool opening/closing (seasonal), weekly maintenance, pool repair and renovation, retail store (chemicals, equipment, parts), free water testing (every 2 weeks; $10 additional), pumps, filters, heaters, safety covers",,,,
Businesses Physically Located in Rexdale,Pesticon Pest Control Inc.,"100 Rexdale Blvd, Suite 301-G, Etobicoke, ON M9W 1N7",M9W 1N7,(416) 839-1097,,www.pesticon.com,,"Monday-Sunday, 8:00am-10:00pm",Guarantees: 6-month guarantee on all services; 100-day termite guarantee,,"Certifications: BBB A+ Rating, HomeStars 9.9 rating, Best Pest Control Company 4 consecutive years",,
Businesses Physically Located in Rexdale,Pestiseed Pest Control,"1915 Martin Grove Rd, Etobicoke, ON M9V 3T2",M9V 3T2,(437) 771-8717,,,,24/7 (00:00-23:59),"Residential and commercial pest control, bed bugs, ants, cockroaches, rodents, spiders, wasps, wildlife removal (raccoons, squirrels, skunks)",,,,
Businesses Physically Located in Rexdale/Etobicoke,Cleanol Integrated Services Ltd.,"Facility Address: 40 Adesso Drive, Concord, ON L4K 3C6 (north of Steeles, between Jane and Hwy 400)",,(416) 745-5221,,cleanol.com/etobicoke/,info@cleanol.com,"Mon-Fri 8:00am-5:00pm, Sat 8:00am-1:00pm","In-home carpet cleaning, area rug cleaning and repair, upholstery and furniture cleaning, leather cleaning, drapery and blind cleaning, duct and dryer vent cleaning; commercial carpet cleaning, office furniture cleaning, fabric flameproofing",,,,
Businesses Physically Located in Rexdale/Etobicoke,Roto-Static Etobicoke,"3-1750 The Queensway, Etobicoke, ON M9C 5H5",M9C 5H5,(905) 812-8757,,www.rotostatic.com/etobicoke,etobicoke@rotostatic.com,,Features: Family-owned (Houlik Family); disinfection and sanitation services,,,,
Businesses Physically Located in Rexdale/Etobicoke,ServiceMaster Clean of Etobicoke,"122 Galaxy Boulevard, Etobicoke, ON M9W 4Y6 (Rexdale postal code)",M9W 4Y6,(647) 503-5151,,smetobicoke.com,,24/7 emergency service available,"Commercial carpet cleaning, carpet restoration, encapsulation cleaning, hot water extraction, janitorial services, healthcare cleaning, post-construction cleanup, floor care, disinfection services",,,,
CIBC,Remaining CIBC Branches,,,,,,,,,,,,"English, Italian, Punjabi, Farsi, Hindi, Portuguese"
Cake Shops,Irresistible Cakes (iCakes),,,,,icakes.ca,,,,,,,
Car Washes,Blue Wave Car Wash,"177 Rexdale Blvd, Etobicoke, ON M9W 1P7",M9W 1P7,,,www.bluewavecarwash.ca,,24 hours,"Window tinting, rust protection (10-year warranty), interior cleaning, engine shampoo, buff & polish, oil spraying/rust inhibitor",,,,
Car Washes,Crosstown Car Wash \u2013 Albion,"1760 Albion Rd, Etobicoke, ON M9V 1C3",M9V 1C3,,,crosstowncarwash.ca,,Mon-Sun 7:00 AM \u2013 9:00 PM (exterior); Self-serve bays 24/7,"Exterior tunnel wash, free self-serve vacuums, coin-operated self-serve bays",,,,
Caribbean & African-Style Barbershops,Blue Diamond Barbershop,"1123 Albion Rd, Etobicoke, ON M9V 1A9",M9V 1A9,,,,,,"South Asian salons on Albion Road and Islington Avenue offer traditional services including eyebrow threading, facial treatments, mehendi (henna), and bridal makeup.",,,,
Caribbean & African-Style Barbershops,Future Cutz Barbershop,"200 Queens Plate Dr (Highway 27), Etobicoke, ON M9W 6Y9",M9W 6Y9,(416) 648-2317,,,,,"Men's haircut, beard trimming, shaving, head shave",,Highly rated for precision work,,
Caribbean & African-Style Barbershops,La Moz Cuts N Style,"130 Queens Plate Dr, Etobicoke, ON M9W 0B4",M9W 0B4,(416) 674-5722,,,,,"Men's haircuts, beard trimming, shaving, head shave",,,,
Caribbean & African-Style Barbershops,Mr Barber Unisex Beauty Salon,"1625 Albion Rd, Unit 102A, Etobicoke, ON M9V 5H8",M9V 5H8,(416) 749-7900,,,,,"Blow dry, balayage, children's haircuts, hair braiding",Unisex salon serving all hair types,,,
Caribbean Bakeries & Patty Shops,Grace's Patty World,,,416-747-8515,,,,,,,,,
Caribbean Bakeries & Patty Shops,Pattie World Bakery,,,416-749-6111,,,,Mon-Sat 10:30am-7pm; Sunday closed,,,4.5 stars; wholesale available,,
Caribbean Bakeries & Patty Shops,Roti Roti Family Restaurant,,,416-745-9208,,,,Tue-Fri 10:30am-8pm; Sat-Sun 8:30am-8pm; Monday closed,,,,,
Caribbean Bakeries & Patty Shops,Tinnel's Patties / Tinnels West Jamaican Cuisine,,,416-741-3519,,tinnelspatties.com,,Mon-Sat 11am-7pm; Sunday closed,,,,,
Caribbean Cargo Services,Laparkan Trading,,,,,,,,### African Cargo Services,,,,
Caribbean Grocery Stores,G. Prasad Caribbean Oriental Specialty Foods Inc,,,416-748-9822,,,,,,,,,
Caribbean Grocery Stores,Green's West Indian Groceries Inc,,,416-745-6399,,,,,,,,,
Caribbean Grocery Stores,Westwood Super Market,,,416-901-7797,,,,,,,,,
Caribbean/West Indian Grocery,Akhigbe African-Caribbean Food Market,"8 Rexdale Blvd, Etobicoke, ON M9W 1N6",M9W 1N6,(647) 780-4888,,,,,African and Caribbean foods,,,,
Caribbean/West Indian Grocery,G. Prasad Caribbean & Oriental Specialty Foods Inc,"1176 Albion Rd, Etobicoke, ON M9V 1A8",M9V 1A8,(416) 748-9822,,,,,"Caribbean and Oriental groceries—Caribbean spices, specialty foods, imported products",,,,
Caribbean/West Indian Grocery,Green's West Indian Groceries Inc.,"11 Westmore Dr, Etobicoke, ON M9V 3Y6",M9V 3Y6,(416) 745-6399,,greensgroceries.ca,,Tue 9AM-7PM; Wed 9AM-8PM; Thu-Fri 9AM-9PM; Sat 8AM-6PM; Sun 9AM-6PM,"West Indian groceries—Caribbean spices, fresh fruits & vegetables from West Indies",Established 1995; daily deliveries from West Indies,,,
Carpet/Flooring Stores and Installers,EZ Con Flooring,,,,,ezcon.ca/flooring-store-etobicoke,,,### Appliance Repair Services,15+ years experience; showroom near airport; free estimates,,,
Carpet/Flooring Stores and Installers,Robar Flooring,"30 Archerhill Dr, Etobicoke, ON M9B 5P3",M9B 5P3,416-239-9323,,robarflooring.ca,,,"Hardwood installation, refinishing, repair; stairs",Since 1998; free estimates,,,
Carpet/Flooring Stores and Installers,Torontonian Flooring,"Unit 10, 37 Stoffel Dr, Etobicoke, ON M9W 6A8",M9W 6A8,,,torontonianflooring.com,,,"Hardwood, carpet, runners, laminate, vinyl; professional installation",Award-winning since 2009,,,
Carpet/Flooring Stores and Installers,Victorious Carpet & Flooring,,,,,victoriousflooring.com,,,"Carpet repair/replacement, hardwood, laminate, luxury vinyl",23+ years experience; serves Mount Olive-Silverstone-Jamestown area,,,
Children's Entertainment,Cine Starz Deluxe (Woodbine Centre),"500 Rexdale Boulevard, Toronto, ON M9W 6K5",M9W 6K5,(416) 674-9641,,cinestarz.ca,,Mon-Fri 12:30PM-10PM; Sat-Sun 10:30AM-10PM,"Movie theater, 3D movies, VIP cinema experience, birthday movie parties",,,,
Children's Entertainment,Etobicoke Gymnastics Club,"1186 Martin Grove Road, Etobicoke, ON M9W 5M9",M9W 5M9,416-241-3401,,etobicokegymnastics.ca,info@etobicokegymnastics.ca,,"Recreational gymnastics (ages 2+), competitive gymnastics, March Break Camp, Summer Camp programs",,,,
Children's Entertainment,Fantasy Fair (Woodbine Mall),"500 Rexdale Blvd, Etobicoke, ON M9W 6K5",M9W 6K5,437-880-8448,,fantasyfair.ca,wbcfantasy@fantasyfair.ca,Mon-Sat 11AM-7PM; Sun 11AM-6PM,"Ontario's largest indoor amusement park (58,000 sq ft)—9+ rides, antique 1911 Looff Carousel, soft play structure, rock climbing, XD Simulator, arcade","Operating since 1985, served 8+ million guests; birthday party packages available",,,
Children's Entertainment,Goofing Around Kids,"1 Westside Dr, Unit 8A, Etobicoke, ON M9C 1B3",M9C 1B3,(416) 622-7529,,goofingaroundkids.ca,,Sat-Sun 10AM-6PM,"Indoor playground for ages 0-10; 4,000+ sq ft, 3-floor play structure, ball pit, trampoline, bouncy castle",Near Rexdale boundary; semi-private and private parties available,,,
Children's Entertainment,Imagine Cinemas (Woodbine Centre),"500 Rexdale Boulevard, Toronto, ON M9W 6K5",M9W 6K5,(416) 213-9048,,,,Generally 12PM-10PM daily,"Movie theater with family-friendly programming, birthday movie parties",,,,
Christian Churches,Mount Olive Seventh-day Adventist Church,,,416-741-1682,,mtolivesda.org,,,"Sabbath services Saturday; Food bank, homeless feeding programs",,,,
Christian Churches,Rexdale Alliance Church,,,416-741-1110,,rexdalealliance.ca,,,,,4.8/5 (347 reviews),,
Christian Churches,St. Benedict Catholic Church,,,416-743-3830,,stbenedicts.ca,,,,,,,
Christian Churches,St. Paul the Apostle Anglican Church,,,416-743-1993,,stpaultheapostle.com,,,,,,,
Cleaning Services,Custom Maids Toronto,,,416-488-5254,,,,,,,,,
Cleaning Services,Hellamaid - Rexdale,,,647-499,(6243),hellamaid.ca/house-cleaning-service-etobicoke/rexdale,,,,,,,
Coin Laundromats,Kipling Laundry Inc,"5-2687 Kipling Ave (Suite A), Etobicoke, ON M9V 5G6",M9V 5G6,(647) 688-1558,,,,,,,,,
Coin Laundromats,Luubanccoin Laundry,"2291 Kipling Ave, Etobicoke, ON M9W 4L6",M9W 4L6,(416) 740-0101,,,,Open until 11:59 PM,,,,,
Coin Laundromats,Rexdale Coin Laundry,"180-200 Queen's Plate Dr, A10-A12, Toronto, ON M9W 6Y9",M9W 6Y9,(416) 746-8264,,quickielaundry.ca,"Technology: Huebsch App for touchless payment, loyalty program, end-of-cycle text/email notifications",,"Self-serve laundry, wash & fold, dry cleaning (coming soon)",First of its kind in Canada with advanced technology,,,
Coin Laundromats,Thistledown Coin Wash,"42a Rexdale Blvd, Etobicoke, ON M9W 5Z3",M9W 5Z3,(647) 895-4777 / (416) 640-7444,,www.empiredrycleaners.ca,emperorquazi@hotmail.com,Mon-Fri 9:00 AM \u2013 7:00 PM; Sat 9:00 AM \u2013 6:00 PM; Sun Closed,"Dry cleaning & wet cleaning, shirt cleaning, suits & tuxedos, formal wear, purses & handbags, leather & suede cleaning, hockey equipment cleaning, wedding dress preservation, bed linens, rugs, draperies",,,,
Commercial Truck Driving (AZ/DZ),AIMS Professional Truck Training Academy,,,,,,,,,,,,
Commercial Truck Driving (AZ/DZ),Alpha Transport Training Centre,,,,,,,,,,,,
Community Centers,Elmbank Community Centre,,,416-394-8671,,,,Sun-Sat 9am-9pm,,,,,
Community Centers,Rexdale Community Hub,,,416-741-3000,,,,,,,,,
